ID,Name,1/1/2020,1/2/2020,1/3/2020,1/4/2020,1/5/2020,1/6/2020,Total Pay,,
G001,"Chan,   Daniel",8,8,"8,5",7,5,"2,5",,,
G002,"Ali, Dana","8,5",7,8,8,9,"5,5",,,
G003,"Sanchez,  Alexis","7,5","6,5",10,8,7,5,,,
G004,"Fischer, Wolfgang",8,8,8,7,7,4,,,
G005,"Patel, Anika",6,5,5,"5,5",6,2,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Nombres,Conversión Numérica de Horas,,,,,,Suma Total de Horas Trabajadas,Cruce de Tasa Salarial desde Hoja2 con BUSCARV,Cálculo de Remuneración Total
,"Chan, Daniel",8,8,"8,5",7,5,"2,5",39,"100,5","3919,5"
,"Ali, Dana","8,5",7,8,8,9,"5,5",46,75,3450
,"Sanchez, Alexis","7,5","6,5",10,8,7,5,44,150,6600
,"Fischer, Wolfgang",8,8,8,7,7,4,42,65,2730
,"Patel, Anika",6,5,5,"5,5",6,2,"29,5",3000,88500
,,,,,,,,,,
,,,,,,,,,,
,Nombres,SUM de Cruce de Tasa Salarial desde Hoja2 con BUSCARV,SUM de Cálculo de Remuneración Total,,,,,,,
,"Ali, Dana","75,00","3.450,00",,,,,,,
,"Chan, Daniel","100,50","3.919,50",,,,,,,
,"Fischer, Wolfgang","65,00","2.730,00",,,,,,,
,"Patel, Anika","3.000,00","88.500,00",,,,,,,
,"Sanchez, Alexis","150,00","6.600,00",,,,,,,
,Suma total,"3.390,50","105.199,50",,,,,,,
